result_fn,labels_detailed,passage,series,file_header,datatag,clone1,clone2,comp_type,labels_short,order
scrande_SA1035_41_SA1035_UT_D_UU_A_logfc_results.csv,X5 Rx:D vs. UnRx:A,X5,Pt6,scrande_SA1035_41,SA1035,D,A,treated_vs_untreated,Rx,0
scrande_SA1035_3_SA1035_UTT_G_UUU_G_logfc_results.csv,X6 Rx:G vs. UnRx:G,X6,Pt6,scrande_SA1035_3,SA1035,G,G,treated_vs_untreated,Rx,0
scrande_SA1035_32_SA1035_UTU_B_UUU_G_logfc_results.csv,X6 RxH:B vs. UnRx:G,X6,Pt6,scrande_SA1035_32,SA1035,B,G,treated_vs_untreated,RxH,0
scrande_SA1035_1_SA1035_UTTT_H_UUUU_E_logfc_results.csv,X7 Rx:H vs. UnRx:E,X7,Pt6,scrande_SA1035_1,SA1035,H,E,treated_vs_untreated,Rx,0
scrande_SA1035_36_SA1035_UTTU_H_UUUU_E_logfc_results.csv,X7 RxH:H vs. UnRx:E,X7,Pt6,scrande_SA1035_36,SA1035,H,E,treated_vs_untreated,RxH,0
scrande_SA1035_51_SA1035_UTTT_G_UUUU_E_logfc_results.csv,X7 Rx:G vs. UnRx:E,X7,Pt6,scrande_SA1035_51,SA1035,G,E,treated_vs_untreated,Rx,0
scrande_SA1035_12_SA1035_UTTU_G_UUUU_E_logfc_results.csv,X7 RxH:G vs. UnRx:E,X7,Pt6,scrande_SA1035_12,SA1035,G,E,treated_vs_untreated,RxH,0
scrande_SA1035_2_SA1035_UTTTT_H_UUUUU_E_logfc_results.csv,X8 Rx:H vs. UnRx:E,X8,Pt6,scrande_SA1035_2,SA1035,H,E,treated_vs_untreated,Rx,0
scrande_SA1035_34_SA1035_UTTTU_H_UUUUU_E_logfc_results.csv,X8 RxH:H vs. UnRx:E,X8,Pt6,scrande_SA1035_34,SA1035,H,E,treated_vs_untreated,RxH,0
scrande_SA1035_52_SA1035_UTTTT_G_UUUUU_E_logfc_results.csv,X8 Rx:G vs. UnRx:E,X8,Pt6,scrande_SA1035_52,SA1035,G,E,treated_vs_untreated,Rx,0
scrande_SA1035_22_SA1035_UTTTU_G_UUUUU_E_logfc_results.csv,X8 RxH:G vs. UnRx:E,X8,Pt6,scrande_SA1035_22,SA1035,G,E,treated_vs_untreated,RxH,0
